nospam	encuesta	Hola, como estas?
nospam	encuesta	Recuerda comprar leche en el supermercado.
spam	general	¡Enhorabuena! Acaba de ganar un viaje gratis a Cancun.
nospam	encuesta	Te espero a las 8 en el cafe.
nospam	encuesta	Bien y tu como estas??
spam	general	FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv
nospam	encuesta	Hasta luego..
nospam	encuesta	Adios...
spam	general	Ganaste una Camioneta 0km, para reclamar entra al siguiente link: byckl.com
spam	general	Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030
nospam	encuesta	HOLAAAAA!
spam	general	OH losiento!
spam	general	URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18
nospam	encuesta	HASTA PRONTO!!!!!.
nospam	encuesta	nos vemos luego.
spam	general	XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL
nospam	encuesta	Contesta por favor!
nospam	encuesta	:)!
nospam	encuesta	Fine if thats the way u feel. Thats the way its gota b
spam	general	Responde esta encuesta: www.sorteo.com, y gana un Iphone14 pro max.
nospam	encuesta	OH losiento!
nospam	encuesta	Perdon!
spam	general	So ü pay first lar... Then when is da stock comin...
spam	general	Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?
nospam	encuesta	JAJAAJAJ!!
spam	general	¡Gana dinero rápido y fácil! ¡Conviértete en millonario en solo una semana!
nospam	encuesta	Nos vemos luego
nospam	encuesta	I love you
nospam	encuesta	Te amo
nospam	encuesta	Nos vemos en breña?
nospam	encuesta	apurate
nospam	encuesta	jejejeej
nospam	encuesta	XDDDDDDDDDDDDDDD
nospam	encuesta	si como no
nospam	encuesta	mama ya regreso
nospam	encuesta	tienes una oportunidad
nospam	encuesta	que triste!!
nospam	encuesta	mis condolencias :(
nospam	encuesta	crees poder?
nospam	encuesta	nos veremos algun dia
nospam	encuesta	llevaras este curso

